eval/episode_reward,eval/episode_reward_contact_cost,eval/episode_reward_ctrl_cost,eval/episode_reward_forward,eval/episode_reward_survive,eval/episode_score,eval/total_episodes,losses/disc_loss,losses/entropy_loss,losses/policy_loss,losses/total_loss,losses/value_loss,num_steps,speed/eval_sps,speed/eval_walltime,speed/sps,speed/timestamp,speed/training_walltime
2965.5059,1.4777769,1308.4126,-32.467697,1000.0,0.0,128.0,2.068015,-0.046510257,-0.99940246,113.14133,112.119225,8847360,65113.69097713548,11.972951173782349,192106.8,46.11076498031616,46.11076498031616
3442.0537,1.3520372,1436.2828,-58.162094,1000.0,0.0,128.0,1.8424766,-0.0060502863,-0.09388492,59.62023,57.877693,17694720,64763.98671500324,13.949355840682983,287184.44,76.91820454597473,76.91820454597473
3669.1846,1.3170742,1369.3586,-36.89928,1000.0,0.0,128.0,1.3466723,0.03152684,-0.05899695,54.950096,53.630894,26542080,64326.25494514658,15.939206838607788,285614.12,107.89510035514832,107.89510035514832
